,ATC,ATC_info,ATC_hierarchy,used_in_diabetes,is_terminal_category,number_of_children
32,A12CB03,Zinc protein complex,"['A12CB03', 'A12CB', 'A12C', 'A12', 'A']",False,1,1
33,A12CB02,Zinc gluconate,"['A12CB02', 'A12CB', 'A12C', 'A12', 'A']",False,1,1
34,A12CB01,Zinc sulfate,"['A12CB01', 'A12CB', 'A12C', 'A12', 'A']",False,1,1
35,A12CA,Sodium,"['A12CA', 'A12C', 'A12', 'A']",False,3,3
36,A12CA02,Sodium sulfate,"['A12CA02', 'A12CA', 'A12C', 'A12', 'A']",False,1,1
37,A12CA01,Sodium chloride,"['A12CA01', 'A12CA', 'A12C', 'A12', 'A']",False,1,1
38,A12B,Potassium,"['A12B', 'A12', 'A']",False,9,9
39,A12BA,Potassium,"['A12BA', 'A12B', 'A12', 'A']",False,8,8
40,A12BA51,"Potassium chloride, combinations","['A12BA51', 'A12BA', 'A12B', 'A12', 'A']",False,1,1
41,A12BA30,Potassium (different salts in combination),"['A12BA30', 'A12BA', 'A12B', 'A12', 'A']",False,1,1
42,A12BA05,Potassium gluconate,"['A12BA05', 'A12BA', 'A12B', 'A12', 'A']",False,1,1
43,A12BA04,Potassium hydrogencarbonate,"['A12BA04', 'A12BA', 'A12B', 'A12', 'A']",False,1,1
44,A12BA03,Potassium hydrogentartrate,"['A12BA03', 'A12BA', 'A12B', 'A12', 'A']",False,1,1
45,A12BA02,Potassium citrate,"['A12BA02', 'A12BA', 'A12B', 'A12', 'A']",False,1,1
46,A12BA01,Potassium chloride,"['A12BA01', 'A12BA', 'A12B', 'A12', 'A']",False,1,1
47,A12A,Calcium,"['A12A', 'A12', 'A']",False,17,17
48,A12AX,"Calcium, combinations with vitamin d and/or other drugs","['A12AX', 'A12A', 'A12', 'A']",False,1,1
49,A12AA,Calcium,"['A12AA', 'A12A', 'A12', 'A']",False,15,15
50,A12AA30,Calcium laevulate,"['A12AA30', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
51,A12AA20,Calcium (different salts in combination),"['A12AA20', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
52,A12AA13,Calcium citrate,"['A12AA13', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
53,A12AA11,Calcium pangamate,"['A12AA11', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
54,A12AA10,Calcium glucoheptonate,"['A12AA10', 'A12AA', 'A12A', 'A12', 'A']",True,1,1
55,A12AA09,Calcium citrate lysine complex,"['A12AA09', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
56,A12AA08,Calcium glycerylphosphate,"['A12AA08', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
57,A12AA07,Calcium chloride,"['A12AA07', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
58,A12AA06,Calcium lactate gluconate,"['A12AA06', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
59,A12AA05,Calcium lactate,"['A12AA05', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
60,A12AA04,Calcium carbonate,"['A12AA04', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
61,A12AA03,Calcium gluconate,"['A12AA03', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
62,A12AA02,Calcium glubionate,"['A12AA02', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
63,A12AA01,Calcium phosphate,"['A12AA01', 'A12AA', 'A12A', 'A12', 'A']",False,1,1
64,A11,Vitamins,"['A11', 'A']",False,96,96
65,A11J,"Other vitamin products, combinations","['A11J', 'A11', 'A']",False,4,4
66,A11JC,"Vitamins, other combinations","['A11JC', 'A11J', 'A11', 'A']",False,1,1
67,A11JB,Vitamins with minerals,"['A11JB', 'A11J', 'A11', 'A']",False,1,1
68,A11JA,Combinations of vitamins,"['A11JA', 'A11J', 'A11', 'A']",False,1,1
69,A11H,Other plain vitamin preparations,"['A11H', 'A11', 'A']",False,13,13
70,A11HA,Other plain vitamin preparations,"['A11HA', 'A11H', 'A11', 'A']",False,12,12
71,A11HA32,Pantethine,"['A11HA32', 'A11HA', 'A11H', 'A11', 'A']",False,1,1
72,A11HA31,Calcium pantothenate,"['A11HA31', 'A11HA', 'A11H', 'A11', 'A']",False,1,1
73,A11HA30,Dexpanthenol,"['A11HA30', 'A11HA', 'A11H', 'A11', 'A']",False,1,1
74,A11HA08,Tocofersolan,"['A11HA08', 'A11HA', 'A11H', 'A11', 'A']",False,1,1
75,A11HA07,Inositol,"['A11HA07', 'A11HA', 'A11H', 'A11', 'A']",False,1,1
76,A11HA06,Pyridoxal phosphate,"['A11HA06', 'A11HA', 'A11H', 'A11', 'A']",False,1,1
77,A11HA05,Biotin,"['A11HA05', 'A11HA', 'A11H', 'A11', 'A']",False,1,1
78,A11HA04,Riboflavin (vit b2),"['A11HA04', 'A11HA', 'A11H', 'A11', 'A']",False,1,1
79,A11HA03,Tocopherol (vit e),"['A11HA03', 'A11HA', 'A11H', 'A11', 'A']",False,1,1
80,A11HA02,Pyridoxine (vit b6),"['A11HA02', 'A11HA', 'A11H', 'A11', 'A']",False,1,1
81,A11HA01,Nicotinamide,"['A11HA01', 'A11HA', 'A11H', 'A11', 'A']",False,1,1
82,A11G,"Ascorbic acid (vitamin c), incl. combinations","['A11G', 'A11', 'A']",False,5,5
83,A11GB,"Ascorbic acid (vitamin c), combinations","['A11GB', 'A11G', 'A11', 'A']",False,2,2
84,A11GB01,Ascorbic acid (vit c) and calcium,"['A11GB01', 'A11GB', 'A11G', 'A11', 'A']",False,1,1
85,A11GA,"Ascorbic acid (vitamin c), plain","['A11GA', 'A11G', 'A11', 'A']",False,2,2
86,A11GA01,Ascorbic acid (vit c),"['A11GA01', 'A11GA', 'A11G', 'A11', 'A']",False,1,1
87,A11E,"Vitamin b-complex, incl. combinations","['A11E', 'A11', 'A']",False,6,6
88,A11EX,"Vitamin b-complex, other combinations","['A11EX', 'A11E', 'A11', 'A']",False,1,1
89,A11ED,Vitamin b-complex with anabolic steroids,"['A11ED', 'A11E', 'A11', 'A']",False,1,1
90,A11EC,Vitamin b-complex with minerals,"['A11EC', 'A11E', 'A11', 'A']",False,1,1
91,A11EB,Vitamin b-complex with vitamin c,"['A11EB', 'A11E', 'A11', 'A']",False,1,1
92,A11EA,"Vitamin b-complex, plain","['A11EA', 'A11E', 'A11', 'A']",False,1,1
93,A11D,"Vitamin b1, plain and in combination with vitamin b6 and b12","['A11D', 'A11', 'A']",False,6,6
94,A11DB,Vitamin b1 in combination with vitamin b6 and/or vitamin b12,"['A11DB', 'A11D', 'A11', 'A']",False,1,1
95,A11DA,"Vitamin b1, plain","['A11DA', 'A11D', 'A11', 'A']",False,4,4
96,A11DA03,Benfotiamine,"['A11DA03', 'A11DA', 'A11D', 'A11', 'A']",False,1,1
97,A11DA02,Sulbutiamine,"['A11DA02', 'A11DA', 'A11D', 'A11', 'A']",False,1,1
98,A11DA01,Thiamine (vit b1),"['A11DA01', 'A11DA', 'A11D', 'A11', 'A']",False,1,1
99,A11C,"Vitamin a and d, incl. combinations of the two","['A11C', 'A11', 'A']",False,14,14
100,A11CC,Vitamin d and analogues,"['A11CC', 'A11C', 'A11', 'A']",False,9,9
101,A11CC55,"Colecalciferol, combinations","['A11CC55', 'A11CC', 'A11C', 'A11', 'A']",False,1,1
102,A11CC20,Combinations,"['A11CC20', 'A11CC', 'A11C', 'A11', 'A']",False,1,1
103,A11CC06,Calcifediol,"['A11CC06', 'A11CC', 'A11C', 'A11', 'A']",False,1,1
104,A11CC05,Colecalciferol,"['A11CC05', 'A11CC', 'A11C', 'A11', 'A']",False,1,1
105,A11CC04,Calcitriol,"['A11CC04', 'A11CC', 'A11C', 'A11', 'A']",False,1,1
106,A11CC03,Alfacalcidol,"['A11CC03', 'A11CC', 'A11C', 'A11', 'A']",False,1,1
107,A11CC02,Dihydrotachysterol,"['A11CC02', 'A11CC', 'A11C', 'A11', 'A']",False,1,1
108,A11CC01,Ergocalciferol,"['A11CC01', 'A11CC', 'A11C', 'A11', 'A']",False,1,1
109,A11CB,Vitamin a and d in combination,"['A11CB', 'A11C', 'A11', 'A']",False,1,1
110,A11CA,"Vitamin a, plain","['A11CA', 'A11C', 'A11', 'A']",False,3,3
111,A11CA02,Betacarotene,"['A11CA02', 'A11CA', 'A11C', 'A11', 'A']",False,1,1
112,A11CA01,Retinol (vit a),"['A11CA01', 'A11CA', 'A11C', 'A11', 'A']",False,1,1
113,A11B,"Multivitamins, plain","['A11B', 'A11', 'A']",False,2,2
114,A11BA,"Multivitamins, plain","['A11BA', 'A11B', 'A11', 'A']",False,1,1
115,A11A,"Multivitamins, combinations","['A11A', 'A11', 'A']",False,7,7
116,A11AB,"Multivitamins, other combinations","['A11AB', 'A11A', 'A11', 'A']",False,1,1
117,A11AA,Multivitamins with minerals,"['A11AA', 'A11A', 'A11', 'A']",False,5,5
118,A11AA04,Multivitamins and trace elements,"['A11AA04', 'A11AA', 'A11A', 'A11', 'A']",False,1,1
119,A11AA03,"Multivitamins and other minerals, incl. combinations","['A11AA03', 'A11AA', 'A11A', 'A11', 'A']",False,1,1
120,A11AA02,Multivitamins and calcium,"['A11AA02', 'A11AA', 'A11A', 'A11', 'A']",False,1,1
121,A11AA01,Multivitamins and iron,"['A11AA01', 'A11AA', 'A11A', 'A11', 'A']",False,1,1
122,A10,Drugs used in diabetes,"['A10', 'A']",True,194,194
123,A10X,Other drugs used in diabetes,"['A10X', 'A10', 'A']",True,5,5
124,A10XX,Other drugs used in diabetes,"['A10XX', 'A10X', 'A10', 'A']",True,2,2
125,A10XX01,Teplizumab,"['A10XX01', 'A10XX', 'A10X', 'A10', 'A']",True,1,1
126,A10XA,Aldose reductase inhibitors,"['A10XA', 'A10X', 'A10', 'A']",True,2,2
127,A10XA01,Tolrestat,"['A10XA01', 'A10XA', 'A10X', 'A10', 'A']",True,1,1
128,A10B,"Blood glucose lowering drugs, excl. insulins","['A10B', 'A10', 'A']",True,99,99
129,A10BK,Sodium-glucose co-transporter 2 (sglt2) inhibitors,"['A10BK', 'A10B', 'A10', 'A']",True,9,9
130,A10BK08,Bexagliflozin,"['A10BK08', 'A10BK', 'A10B', 'A10', 'A']",True,1,1
131,A10BK07,Luseogliflozin,"['A10BK07', 'A10BK', 'A10B', 'A10', 'A']",True,1,1
132,A10BK06,Sotagliflozin,"['A10BK06', 'A10BK', 'A10B', 'A10', 'A']",True,1,1
133,A10BK05,Ipragliflozin,"['A10BK05', 'A10BK', 'A10B', 'A10', 'A']",True,1,1
134,A10BK04,Ertugliflozin,"['A10BK04', 'A10BK', 'A10B', 'A10', 'A']",True,1,1
135,A10BK03,Empagliflozin,"['A10BK03', 'A10BK', 'A10B', 'A10', 'A']",True,1,1
136,A10BK02,Canagliflozin,"['A10BK02', 'A10BK', 'A10B', 'A10', 'A']",True,1,1
137,A10BK01,Dapagliflozin,"['A10BK01', 'A10BK', 'A10B', 'A10', 'A']",True,1,1
138,A10BJ,Glucagon-like peptide-1 (glp-1) analogues,"['A10BJ', 'A10B', 'A10', 'A']",True,8,8
139,A10BJ07,Beinaglutide,"['A10BJ07', 'A10BJ', 'A10B', 'A10', 'A']",True,1,1
140,A10BJ06,Semaglutide,"['A10BJ06', 'A10BJ', 'A10B', 'A10', 'A']",True,1,1
141,A10BJ05,Dulaglutide,"['A10BJ05', 'A10BJ', 'A10B', 'A10', 'A']",True,1,1
142,A10BJ04,Albiglutide,"['A10BJ04', 'A10BJ', 'A10B', 'A10', 'A']",True,1,1
143,A10BJ03,Lixisenatide,"['A10BJ03', 'A10BJ', 'A10B', 'A10', 'A']",True,1,1
144,A10BJ02,Liraglutide,"['A10BJ02', 'A10BJ', 'A10B', 'A10', 'A']",True,1,1
145,A10BJ01,Exenatide,"['A10BJ01', 'A10BJ', 'A10B', 'A10', 'A']",True,1,1
146,A10BX,"Other blood glucose lowering drugs, excl. insulins","['A10BX', 'A10B', 'A10', 'A']",True,11,11
147,A10BX18,Dorzagliatin,"['A10BX18', 'A10BX', 'A10B', 'A10', 'A']",True,1,1
148,A10BX17,Carfloglitazar,"['A10BX17', 'A10BX', 'A10B', 'A10', 'A']",True,1,1
149,A10BX16,Tirzepatide,"['A10BX16', 'A10BX', 'A10B', 'A10', 'A']",True,1,1
150,A10BX15,Imeglimin,"['A10BX15', 'A10BX', 'A10B', 'A10', 'A']",True,1,1
151,A10BX08,Mitiglinide,"['A10BX08', 'A10BX', 'A10B', 'A10', 'A']",True,1,1
152,A10BX06,Benfluorex,"['A10BX06', 'A10BX', 'A10B', 'A10', 'A']",True,1,1
153,A10BX05,Pramlintide,"['A10BX05', 'A10BX', 'A10B', 'A10', 'A']",True,1,1
154,A10BX03,Nateglinide,"['A10BX03', 'A10BX', 'A10B', 'A10', 'A']",True,1,1
155,A10BX02,Repaglinide,"['A10BX02', 'A10BX', 'A10B', 'A10', 'A']",True,1,1
156,A10BX01,Guar gum,"['A10BX01', 'A10BX', 'A10B', 'A10', 'A']",True,1,1
157,A10BH,Dipeptidyl peptidase 4 (dpp-4) inhibitors,"['A10BH', 'A10B', 'A10', 'A']",True,11,11
158,A10BH08,Teneligliptin,"['A10BH08', 'A10BH', 'A10B', 'A10', 'A']",True,1,1
159,A10BH52,Gemigliptin and rosuvastatin,"['A10BH52', 'A10BH', 'A10B', 'A10', 'A']",True,1,1
160,A10BH07,Evogliptin,"['A10BH07', 'A10BH', 'A10B', 'A10', 'A']",True,1,1
161,A10BH51,Sitagliptin and simvastatin,"['A10BH51', 'A10BH', 'A10B', 'A10', 'A']",True,1,1
162,A10BH06,Gemigliptin,"['A10BH06', 'A10BH', 'A10B', 'A10', 'A']",True,1,1
163,A10BH05,Linagliptin,"['A10BH05', 'A10BH', 'A10B', 'A10', 'A']",True,1,1
164,A10BH04,Alogliptin,"['A10BH04', 'A10BH', 'A10B', 'A10', 'A']",True,1,1
165,A10BH03,Saxagliptin,"['A10BH03', 'A10BH', 'A10B', 'A10', 'A']",True,1,1
166,A10BH02,Vildagliptin,"['A10BH02', 'A10BH', 'A10B', 'A10', 'A']",True,1,1
167,A10BH01,Sitagliptin,"['A10BH01', 'A10BH', 'A10B', 'A10', 'A']",True,1,1
168,A10BG,Thiazolidinediones,"['A10BG', 'A10B', 'A10', 'A']",True,5,5
169,A10BG04,Lobeglitazone,"['A10BG04', 'A10BG', 'A10B', 'A10', 'A']",True,1,1
170,A10BG03,Pioglitazone,"['A10BG03', 'A10BG', 'A10B', 'A10', 'A']",True,1,1
171,A10BG02,Rosiglitazone,"['A10BG02', 'A10BG', 'A10B', 'A10', 'A']",True,1,1
172,A10BG01,Troglitazone,"['A10BG01', 'A10BG', 'A10B', 'A10', 'A']",True,1,1
173,A10BF,Alpha glucosidase inhibitors,"['A10BF', 'A10B', 'A10', 'A']",True,4,4
174,A10BF03,Voglibose,"['A10BF03', 'A10BF', 'A10B', 'A10', 'A']",True,1,1
175,A10BF02,Miglitol,"['A10BF02', 'A10BF', 'A10B', 'A10', 'A']",True,1,1
176,A10BF01,Acarbose,"['A10BF01', 'A10BF', 'A10B', 'A10', 'A']",True,1,1
177,A10BD,Combinations of oral blood glucose lowering drugs,"['A10BD', 'A10B', 'A10', 'A']",True,30,30
178,A10BD29,Sitagliptin and dapagliflozin,"['A10BD29', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
179,A10BD28,Metformin and teneligliptin,"['A10BD28', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
180,A10BD27,"Metformin, linagliptin and empagliflozin","['A10BD27', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
181,A10BD26,Metformin and lobeglitazone,"['A10BD26', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
182,A10BD25,"Metformin, saxagliptin and dapagliflozin","['A10BD25', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
183,A10BD24,Sitagliptin and ertugliflozin,"['A10BD24', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
184,A10BD23,Metformin and ertugliflozin,"['A10BD23', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
185,A10BD22,Metformin and evogliptin,"['A10BD22', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
186,A10BD21,Saxagliptin and dapagliflozin,"['A10BD21', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
187,A10BD20,Metformin and empagliflozin,"['A10BD20', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
188,A10BD19,Linagliptin and empagliflozin,"['A10BD19', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
189,A10BD18,Metformin and gemigliptin,"['A10BD18', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
190,A10BD17,Metformin and acarbose,"['A10BD17', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
191,A10BD16,Metformin and canagliflozin,"['A10BD16', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
192,A10BD15,Metformin and dapagliflozin,"['A10BD15', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
193,A10BD14,Metformin and repaglinide,"['A10BD14', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
194,A10BD13,Metformin and alogliptin,"['A10BD13', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
195,A10BD12,Pioglitazone and sitagliptin,"['A10BD12', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
196,A10BD11,Metformin and linagliptin,"['A10BD11', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
197,A10BD10,Metformin and saxagliptin,"['A10BD10', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
198,A10BD09,Pioglitazone and alogliptin,"['A10BD09', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
199,A10BD08,Metformin and vildagliptin,"['A10BD08', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
200,A10BD07,Metformin and sitagliptin,"['A10BD07', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
201,A10BD06,Glimepiride and pioglitazone,"['A10BD06', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
202,A10BD05,Metformin and pioglitazone,"['A10BD05', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
203,A10BD04,Glimepiride and rosiglitazone,"['A10BD04', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
204,A10BD03,Metformin and rosiglitazone,"['A10BD03', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
205,A10BD02,Metformin and sulfonylureas,"['A10BD02', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
206,A10BD01,Phenformin and sulfonylureas,"['A10BD01', 'A10BD', 'A10B', 'A10', 'A']",True,1,1
207,A10BC,Sulfonamides (heterocyclic),"['A10BC', 'A10B', 'A10', 'A']",True,2,2
208,A10BC01,Glymidine,"['A10BC01', 'A10BC', 'A10B', 'A10', 'A']",True,1,1
209,A10BB,Sulfonylureas,"['A10BB', 'A10B', 'A10', 'A']",True,14,14
210,A10BB31,Acetohexamide,"['A10BB31', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
211,A10BB12,Glimepiride,"['A10BB12', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
212,A10BB11,Glisoxepide,"['A10BB11', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
213,A10BB10,Metahexamide,"['A10BB10', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
214,A10BB09,Gliclazide,"['A10BB09', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
215,A10BB08,Gliquidone,"['A10BB08', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
216,A10BB07,Glipizide,"['A10BB07', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
217,A10BB06,Carbutamide,"['A10BB06', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
218,A10BB05,Tolazamide,"['A10BB05', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
219,A10BB04,Glibornuride,"['A10BB04', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
220,A10BB03,Tolbutamide,"['A10BB03', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
221,A10BB02,Chlorpropamide,"['A10BB02', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
222,A10BB01,Glibenclamide,"['A10BB01', 'A10BB', 'A10B', 'A10', 'A']",True,1,1
223,A10BA,Biguanides,"['A10BA', 'A10B', 'A10', 'A']",True,4,4
224,A10BA03,Buformin,"['A10BA03', 'A10BA', 'A10B', 'A10', 'A']",True,1,1
225,A10BA02,Metformin,"['A10BA02', 'A10BA', 'A10B', 'A10', 'A']",True,1,1
226,A10BA01,Phenformin,"['A10BA01', 'A10BA', 'A10B', 'A10', 'A']",True,1,1
227,A10A,Insulins and analogues,"['A10A', 'A10', 'A']",True,36,36
228,A10AF,Insulins and analogues for inhalation,"['A10AF', 'A10A', 'A10', 'A']",True,2,2
229,A10AF01,Insulin (human),"['A10AF01', 'A10AF', 'A10A', 'A10', 'A']",True,1,1
230,A10AE,"Insulins and analogues for injection, long-acting","['A10AE', 'A10A', 'A10', 'A']",True,11,11
231,A10AE07,Insulin icodec,"['A10AE07', 'A10AE', 'A10A', 'A10', 'A']",True,1,1
232,A10AE54,Insulin glargine and lixisenatide,"['A10AE54', 'A10AE', 'A10A', 'A10', 'A']",True,1,1
233,A10AE56,Insulin degludec and liraglutide,"['A10AE56', 'A10AE', 'A10A', 'A10', 'A']",True,1,1
234,A10AE30,Combinations,"['A10AE30', 'A10AE', 'A10A', 'A10', 'A']",True,1,1
235,A10AE06,Insulin degludec,"['A10AE06', 'A10AE', 'A10A', 'A10', 'A']",True,1,1
236,A10AE05,Insulin detemir,"['A10AE05', 'A10AE', 'A10A', 'A10', 'A']",True,1,1
237,A10AE04,Insulin glargine,"['A10AE04', 'A10AE', 'A10A', 'A10', 'A']",True,1,1
238,A10AE03,Insulin (pork),"['A10AE03', 'A10AE', 'A10A', 'A10', 'A']",True,1,1
239,A10AE02,Insulin (beef),"['A10AE02', 'A10AE', 'A10A', 'A10', 'A']",True,1,1
240,A10AE01,Insulin (human),"['A10AE01', 'A10AE', 'A10A', 'A10', 'A']",True,1,1
241,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting","['A10AD', 'A10A', 'A10', 'A']",True,8,8
242,A10AD30,Combinations,"['A10AD30', 'A10AD', 'A10A', 'A10', 'A']",True,1,1
243,A10AD06,Insulin degludec and insulin aspart,"['A10AD06', 'A10AD', 'A10A', 'A10', 'A']",True,1,1
244,A10AD05,Insulin aspart,"['A10AD05', 'A10AD', 'A10A', 'A10', 'A']",True,1,1
245,A10AD04,Insulin lispro,"['A10AD04', 'A10AD', 'A10A', 'A10', 'A']",True,1,1
246,A10AD03,Insulin (pork),"['A10AD03', 'A10AD', 'A10A', 'A10', 'A']",True,1,1
247,A10AD02,Insulin (beef),"['A10AD02', 'A10AD', 'A10A', 'A10', 'A']",True,1,1
248,A10AD01,Insulin (human),"['A10AD01', 'A10AD', 'A10A', 'A10', 'A']",True,1,1
249,A10AC,"Insulins and analogues for injection, intermediate-acting","['A10AC', 'A10A', 'A10', 'A']",True,6,6
250,A10AC30,Combinations,"['A10AC30', 'A10AC', 'A10A', 'A10', 'A']",True,1,1
251,A10AC04,Insulin lispro,"['A10AC04', 'A10AC', 'A10A', 'A10', 'A']",True,1,1
252,A10AC03,Insulin (pork),"['A10AC03', 'A10AC', 'A10A', 'A10', 'A']",True,1,1
253,A10AC02,Insulin (beef),"['A10AC02', 'A10AC', 'A10A', 'A10', 'A']",True,1,1
254,A10AC01,Insulin (human),"['A10AC01', 'A10AC', 'A10A', 'A10', 'A']",True,1,1
255,A10AB,"Insulins and analogues for injection, fast-acting","['A10AB', 'A10A', 'A10', 'A']",True,8,8
256,A10AB30,Combinations,"['A10AB30', 'A10AB', 'A10A', 'A10', 'A']",True,1,1
257,A10AB06,Insulin glulisine,"['A10AB06', 'A10AB', 'A10A', 'A10', 'A']",True,1,1
258,A10AB05,Insulin aspart,"['A10AB05', 'A10AB', 'A10A', 'A10', 'A']",True,1,1
259,A10AB04,Insulin lispro,"['A10AB04', 'A10AB', 'A10A', 'A10', 'A']",True,1,1
260,A10AB03,Insulin (pork),"['A10AB03', 'A10AB', 'A10A', 'A10', 'A']",True,1,1
261,A10AB02,Insulin (beef),"['A10AB02', 'A10AB', 'A10A', 'A10', 'A']",True,1,1
262,A10AB01,Insulin (human),"['A10AB01', 'A10AB', 'A10A', 'A10', 'A']",True,1,1
263,A09,"Digestives, incl. enzymes","['A09', 'A']",False,73,73
264,A09A,"Digestives, incl. enzymes","['A09A', 'A09', 'A']",False,14,14
265,A09AC,"Enzyme and acid preparations, combinations","['A09AC', 'A09A', 'A09', 'A']",False,3,3
266,A09AC02,Multienzymes and acid preparations,"['A09AC02', 'A09AC', 'A09A', 'A09', 'A']",False,1,1
